"name.library.x","replicate","forward_FASTQ_file","forward_file_loc","reverse_FASTQ_file","reverse_file_loc"
"LNPA-87",2,"N702-N503_S5_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N702-N503_S5_L002_R1_001.fastq.gz","N702-N503_S5_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N702-N503_S5_L002_R2_001.fastq.gz"
"LNPA-87",3,"N702-N503_S5_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N702-N503_S5_L003_R1_001.fastq.gz","N702-N503_S5_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N702-N503_S5_L003_R2_001.fastq.gz"
"LNPA-87",4,"N702-N503_S5_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N702-N503_S5_L004_R1_001.fastq.gz","N702-N503_S5_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N702-N503_S5_L004_R2_001.fastq.gz"
"LNPA-87",5,"Plate_4_LNPA-87_N705_N504_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_LNPA-87_N705_N504_L002_R1_001.fastq.gz","Plate_4_LNPA-87_N705_N504_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_LNPA-87_N705_N504_L002_R2_001.fastq.gz"
"LNPA-88_(SP)",1,"N712-N517_S66_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N712-N517_S66_L001_R1_001.fastq.gz","N712-N517_S66_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N712-N517_S66_L001_R2_001.fastq.gz"
"LNPA-88_(SP)",2,"N712-N517_S66_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N712-N517_S66_L002_R1_001.fastq.gz","N712-N517_S66_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N712-N517_S66_L002_R2_001.fastq.gz"
"LNPA-88_(SP)",3,"N712-N517_S66_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N712-N517_S66_L003_R1_001.fastq.gz","N712-N517_S66_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N712-N517_S66_L003_R2_001.fastq.gz"
"LNPA-88_(SP)",4,"N712-N517_S66_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N712-N517_S66_L004_R1_001.fastq.gz","N712-N517_S66_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N712-N517_S66_L004_R2_001.fastq.gz"
"LNPA-88_(SP)",5,"Plate_4_LNPA-88_SP__N708_N505_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_LNPA-88_SP__N708_N505_L004_R1_001.fastq.gz","Plate_4_LNPA-88_SP__N708_N505_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_4/FASTQ/Plate_4_LNPA-88_SP__N708_N505_L004_R2_001.fastq.gz"
"LNPA-89",1,"N709-N505_S43_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N709-N505_S43_L001_R1_001.fastq.gz","N709-N505_S43_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N709-N505_S43_L001_R2_001.fastq.gz"
"LNPA-89",2,"N709-N505_S43_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N709-N505_S43_L002_R1_001.fastq.gz","N709-N505_S43_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N709-N505_S43_L002_R2_001.fastq.gz"
"LNPA-89",3,"N709-N505_S43_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N709-N505_S43_L003_R1_001.fastq.gz","N709-N505_S43_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N709-N505_S43_L003_R2_001.fastq.gz"
"LNPA-89",4,"N709-N505_S43_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N709-N505_S43_L004_R1_001.fastq.gz","N709-N505_S43_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N709-N505_S43_L004_R2_001.fastq.gz"
"LNPA-8_(SP)",1,"N703-N503_S21_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N503_S21_L001_R1_001.fastq.gz","N703-N503_S21_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N503_S21_L001_R2_001.fastq.gz"
"LNPA-8_(SP)",2,"N703-N503_S21_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N503_S21_L002_R1_001.fastq.gz","N703-N503_S21_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N703-N503_S21_L002_R2_001.fastq.gz"
