row,author,species,numInd,p/i,continent,country,state,city,lat,long,year,month,day,biosamp,sra,identifier
391, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452840,SRR2396910,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_2_1
392, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452841,SRR2396911,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_6_1
393, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452842,SRR2396912,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_8_1
394, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452843,SRR2396913,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_10_1
395, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452844,SRR2396914,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_12_1
396, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452845,SRR2396915,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_14_1
397, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452846,SRR2396916,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_16_1
398, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452847,SRR2396917,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_18_1
399, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452848,SRR2396918,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_20_1
400, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452849,SRR2396919,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_22_1
401, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452850,SRR2396920,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:C_24_1
402, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452851,SRR2396921,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_2_1
403, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452852,SRR2396922,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_4_1
404, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452853,SRR2396923,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_6_1
405, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452854,SRR2396924,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_8_1
406, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452855,SRR2396925,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_10_1
407, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452856,SRR2396926,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_12_1
408, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452857,SRR2396927,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_14_1
409, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452858,SRR2396928,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_16_1
410, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452859,SRR2396929,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_18_1
411, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452860,SRR2396930,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_20_1
412, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452861,SRR2396931,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_22_1
413, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452862,SRR2396932,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:E_24_1
414, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452863,SRR2396933,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_2_1
415, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452864,SRR2396934,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_4_1
416, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452865,SRR2396935,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_6_1
417, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452866,SRR2396936,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_8_1
418, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452867,SRR2396937,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_10_1
419, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452868,SRR2396938,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_12_1
420, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452869,SRR2396939,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_14_1
421, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452870,SRR2396940,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_16_1
422, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452871,SRR2396941,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_18_1
423, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452872,SRR2396942,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_20_1
424, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452873,SRR2396943,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:G_22_1
425, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452875,SRR2396945,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:P_13_1
426, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452876,SRR2396946,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:P_15_1
