sampleId	country	city	locality	collectionDate	nFlies	SRA_accession	Seq_strategy	sample_type	PCA.set	FST.set	GLM.set	IND.set	Source_Data	Notes
UA_Cho_15_68	Ukraine	Chornobyl Polisske	UA_Cho	8/26/15	40	SRR8439169	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
UA_Cho_15_69	Ukraine	Chornobyl Applegarden	UA_Cho	8/26/15	40	SRR8439139	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
UA_Cho_15_70	Ukraine	Chornobyl Applegarden (New)	UA_Cho	7/7/15	40	SRR8439115	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
UA_Cho_16_54	Ukraine	Chornobyl Applegarden (New)	UA_Cho	9/4/16	40	SRR8494431	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
UA_Cho_16_55	Ukraine	Chornobyl (Cooling pond)	UA_Cho	9/5/16	40	SRR8494444	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
UA_Cho_16_62	Ukraine	Chornobyl Yaniv	UA_Cho	9/4/16	40	SRR8494433	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
UA_Dro_14_27	Ukraine	Drogobych	UA_Dro	8/24/14	40	SRR5647732	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
UA_Dro_15_10	Ukraine	Drogobych	UA_Dro	9/18/15	40	SRR8439116	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
UA_Dro_16_56	Ukraine	Drogobych	UA_Dro	9/12/16	40	SRR8494441	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
UA_Kan_16_57	Ukraine	Kaniv	UA_Kan	7/8/16	40	SRR8494448	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
UA_Kha_14_45	Ukraine	Kharkiv	UA_Kha	7/26/14	40	SRR5647747	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
UA_Kha_14_46	Ukraine	Kharkiv	UA_Kha	9/14/14	40	SRR5647730	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
